date,id,poh,scale_book_no,scale_book_fish_no,book_fish_concat,gr_lu_val,resolved_age_scale,resolved_age_cwt,ad_clip,e_no,whatman,est_egg_ret,comment,egg_len1,egg_len2,egg_len3,avg_egg_len,ttl_egg_wt,ss1_wt,ss1_n,ss2_wt,ss2_n,ss3_wt,ss3_n,avg_egg_wt,fec_est,sampler,egg_comments,ss1_ss2_diff
8-Oct-21,F011,635,1007499,1,10074991,41,41,,N,,243650,100,,85,86,,8.55,1302.8,50.4,126,49.5,126,,,0.39643,3286,Chelsea L,High OF,0.007142857
8-Oct-21,F012,626,1007499,2,10074992,41,41,41,Y,1476919,243651,100,Stubby,88,88,,8.8,1097.4,50.5,123,49.4,120,,,0.41111,2669,Chelsea L,Med OF,-0.001097561
8-Oct-21,F013,657,1007499,3,10074993,41,41,,N,,243652,100,,86,86,,8.6,1144.1,52.4,143,53.4,145,,,0.36736,3114,Chelsea L,Low OF,-0.001842296
8-Oct-21,F014,607,1007499,4,10074994,41,41,,N,,243653,100,,90,87,,8.85,1181.1,52.3,120,55.3,126,,,0.4374,2700,Chelsea L,Med OF,-0.003055556
8-Oct-21,F015,688,1007499,5,10074995,41,41,,N,,243654,100,,83,81,,8.2,1885.6,54.5,142,54.4,137,,,0.39032,4831,Jeff T,High OF,-0.013277475
8-Oct-21,F016,651,1007499,6,10074996,41,41,,N,,243655,100,,89,89,,8.9,1643.5,53.1,112,60.1,131,,,0.46584,3528,Jeff T,High OF,0.015328517
8-Oct-21,F017,692,1007499,7,10074997,41,41,,N,,243656,100,,90,90,,9,1744.6,62.1,134,56.5,121,,,0.4651,3751,Jeff T,High OF,-0.003509313
8-Oct-21,F018,671,1007499,8,10074998,41,41,,N,,243657,100,,88,87,,8.75,1348.6,53.3,124,59,132,,,0.43867,3074,Jeff T,High OF,-0.017130987
8-Oct-21,F019,770,1007499,9,10074999,41,41,,N,,243658,100,,90,90,,9,1648.1,56.1,115,63,133,,,0.48024,3432,Jeff T,Med OF,0.014141876
8-Oct-21,F020,684,1007499,10,100749910,3M,41,,N,,243659,50,Green,85,86,,8.55,903.2,60.7,170,52.1,146,,,0.35696,2530,Jeff T,V Low OF,0.000209508
8-Oct-21,F021,732,1007500,1,10075001,41,41,,N,,245742,100,,88,88,,8.8,2136,51.4,112,56.4,125,,,0.45485,4696,Chelsea L,Med OF,0.007728571
8-Oct-21,F022,730,1007500,2,10075002,51,51,,N,,245743,100,,84,87,85,8.533,1968.1,50.5,116,50.1,115,,,0.4355,4519,Chelsea L,V High OF,-0.000307346
8-Oct-21,F023,582,1007500,3,10075003,31,31,,N,,245744,100,,79,79,,7.9,985.5,53.7,167,53.8,171,,,0.31805,3099,Chelsea L,Low OF,0.006937003
8-Oct-21,F024,561,1007500,4,10075004,31,31,31,Y,1476922,245745,100,,76,70,76,7.4,863.9,51.4,205,57.7,235,,,0.24795,3484,Chelsea L,Med OF,0.005199792
8-Oct-21,F025,787,1007500,5,10075005,51,51,51,Y,1476923,245746,100,,85,88,89,8.733,2165.6,54.2,124,54.8,124,,,0.43952,4927,Chelsea L,High OF,-0.00483871
8-Oct-21,F026,538,1007500,6,10075006,31,31,,N,,245747,100,,69,69,,6.9,654.5,50.7,246,48.4,231,,,0.20776,3150,Jeff T,Low OF,-0.003426249
8-Oct-21,F027,735,1007500,7,10075007,41,41,51,Y,1476924,245748,100,,88,89,,8.85,2206.7,57.1,117,55,111,,,0.49167,4488,Jeff T,High OF,-0.007461307
8-Oct-21,F028,555,1007500,8,10075008,31,31,,N,,245749,100,,75,75,,7.5,907.5,53.8,177,53.3,180,,,0.3,3025,Jeff T,V High OF,0.007843691
8-Oct-21,F029,548,1007500,9,10075009,31,31,,N,,245750,100,,72,75,72,7.3,1056.4,50.3,198,52.5,200,,,0.25829,4090,Jeff T,High OF,-0.008459596
8-Oct-21,F030,730,1007500,10,100750010,41,41,,N,,245751,100,,88,88,,8.8,2049.4,53.9,130,54.2,130,,,0.41577,4929,Jeff T,Med OF,-0.002307692
8-Oct-21,F031,709,1008836,1,10088361,41,41,,N,,245759,100,,88,87,,8.75,2061.7,52,127,50.5,120,,,0.41498,4968,Chelsea L,Low OF.  Some blood in roe,-0.011384514
8-Oct-21,F032,724,1008836,2,10088362,41,41,,N,,245760,100,,89,89,,8.9,2386.5,54.3,109,58.8,121,,,0.49174,4853,Chelsea L,V High OF,0.012214724
8-Oct-21,F033,673,1008836,3,10088363,41,41,,N,,245761,100,,88,90,,8.9,1865.8,54.1,118,55.2,119,,,0.46118,4046,Chelsea L,Med OF,-0.00539097
8-Oct-21,F034,553,1008836,4,10088364,41,41,,Y,1476946,245762,100,Stubby.  Quite a few broken eggs when stripping.,78,78,,7.8,690.7,54.8,165,53.4,155,,,0.33813,2043,Chelsea L,Med OF,-0.012394917
8-Oct-21,F035,722,1008836,5,10088365,41,41,,N,,245763,100,,88,88,,8.8,2006.1,52.3,111,53.5,116,,,0.46608,4304,Chelsea L,High OF,0.009964275
8-Oct-21,F036,770,1008836,6,10088366,31,31,,N,,245764,100,,89,89,,8.9,2275.8,51.3,115,52.5,112,,,0.45727,4977,Chelsea L,High OF,-0.022663043
8-Oct-21,F037,534,1008836,7,10088367,31,31,,N,,245765,100,NF 672.  POF 601,77,75,,7.6,741,51.6,192,51.4,190,,,0.26963,2748,Chelsea L,Low OF,-0.001776316
8-Oct-21,F038,551,1008836,8,10088368,41,41,,N,,245766,100,,71,71,,7.1,755.9,49.1,207,51.9,224,,,0.23434,3226,Chelsea L,Low OF,0.005501639
8-Oct-21,F039,572,1008836,9,10088369,41,41,,N,,245767,100,,84,83,,8.35,928.5,51.5,136,56.4,149,,,0.3786,2452,Chelsea L/Jeff T,High OF,0.000152981
8-Oct-21,F040,600,1008836,10,100883610,41,41,41,Y,1476947,245768,100,,83,81,,8.2,1111,51.2,134,56.3,142,59.8,149,0.39365,2822,Jeff T,High OF.  Strange egg enclosed in larger sac with veins - see photos.,-0.014389321
12-Oct-21,F041,555,1008837,1,10088371,41,41,,N,,245931,100,545,78,77,,7.75,1010.3,51.2,168,53.5,175,,,0.30525,3310,Chelsea L,High OF,-0.000952381
12-Oct-21,F042,570,1008837,2,10088372,41,41,41,Y,1476974,245932,100,577,84,84,,8.4,1053.8,49.5,132,55.5,146,,,0.3777,2790,Chelsea L,Med OF,-0.005136986
12-Oct-21,F043,742,1008837,3,10088373,41,41,,N,,245933,100,747,85,85,,8.5,1684.7,51.2,135,54.7,141,,,0.3837,4391,Chelsea L,High OF,-0.008684003
12-Oct-21,F044,546,1008837,4,10088374,31,31,,N,,245934,100,540,75,80,77,7.733,635.5,50.2,171,51.8,178,,,0.29226,2174,Chelsea L,Low OF,0.002556016
12-Oct-21,F045,729,1008837,5,10088375,41,41,,N,,245935,100,707,88,88,,8.8,1110.4,50.5,107,53.9,115,,,0.47027,2361,Chelsea L,High OF,0.003266965
12-Oct-21,F046,569,1008837,6,10088376,31,31,,N,,245936,100,564,74,75,,7.45,892.1,50.1,189,52.8,200,,,0.26452,3372,Chelsea L,Med OF,0.001079365
12-Oct-21,F047,700,1008837,7,10088377,41,41,,N,,245937,100,705,85,85,,8.5,1746.9,50.3,114,58.6,132,,,0.44268,3946,Chelsea L,V High OF,-0.002711324
12-Oct-21,F048,555,1008837,8,10088378,31,31,,N,,245938,100,559,69,69,,6.9,519,51.7,217,51.8,218,,,0.23793,2181,Jeff T,High OF,0.000634169
12-Oct-21,F049,746,1008837,9,10088379,41,41,,N,,245939,100,734,91,90,,9.05,1627.3,53,111,59.9,128,,,0.47238,3445,Jeff T,Med OF,0.009508727
12-Oct-21,F050,707,1008837,10,100883710,41,41,,N,,245940,100,710,84,84,,8.4,2105.1,56,121,61.2,140,61.9,141,0.44552,4725,Jeff T,V High OF,0.02566706
12-Oct-21,F051,570,1008843,1,10088431,41,41,,N,,245971,100,590,79,79,,7.9,802.6,50.9,169,51.3,170,,,0.30147,2662,Jeff T,Med OF,-0.000581274
12-Oct-21,F052,740,1008843,2,10088432,41,41,,N,,245972,100,742,85,85,,8.5,2210.6,54.5,131,61.2,149,,,0.41321,5350,Jeff T,Low OF,0.005292279
12-Oct-21,F053,600,1008843,3,10088433,31,31,,N,,245973,100,597,78,76,,7.7,978.2,53.4,176,54.3,179,,,0.30338,3224,Jeff T,High OF,5.71E-05
12-Oct-21,F054,714,1008843,4,10088434,41,41,,N,,245974,100,720,80,83,,8.15,1563.3,56.3,151,57.1,151,,,0.3755,4163,Jeff T,Med OF,-0.005298013
12-Oct-21,F055,554,1008843,5,10088435,31,31,,N,,245975,100,557,79,77,,7.8,800.7,53,175,59.5,194,,,0.30488,2626,Jeff T,High OF,-0.003843888
12-Oct-21,F056,738,1008843,6,10088436,41,41,,N,,245976,100,739,92,92,,9.2,1841.1,54,119,56.8,126,,,0.45224,4071,Jeff T,Med OF,0.002987862
12-Oct-21,F057,524,1008843,7,10088437,31,31,,N,,245977,100,525,74,74,,7.4,609.6,52.3,202,53.7,207,,,0.25917,2352,Jeff T,High OF,-0.000509399
12-Oct-21,F058,740,1008843,8,10088438,41,41,,N,,245978,100,742,89,88,,8.85,2044.8,51.2,112,58.4,127,,,0.45858,4459,Jeff T,V High OF,-0.002699663
12-Oct-21,F059,525,1008843,9,10088439,31,31,,N,,245979,100,531,70,70,,7,661.4,52,229,53.7,238,,,0.22634,2922,Jeff T,Med OF,0.001443984
12-Oct-21,F060,731,1008843,10,100884310,41,41,,N,,245980,100,724,87,87,,8.7,2137.1,61,132,57.9,127,,,0.45907,4655,Jeff T,V High OF,0.0062157
12-Oct-21,F061,612,1008844,1,10088441,41,41,,N,,246034,100,,85,83,,8.4,1217.3,57.7,158,57.7,157,,,0.36635,3323,Jeff T,Med OF,-0.00232605
12-Oct-21,F062,661,1008844,2,10088442,41,41,,N,,246035,100,,89,88,,8.85,1507.1,53.1,114,60.4,126,,,0.47292,3187,Jeff T,V High OF,-0.013575606
12-Oct-21,F063,633,1008844,3,10088443,3M,41,,N,,246036,100,,89,86,,8.75,1700.6,52.9,119,59.3,135,,,0.44173,3850,Jeff T,V High OF,0.005278556
12-Oct-21,F064,755,1008844,4,10088444,41,41,41,Y,1476989,246037,100,,87,85,,8.6,2160.6,53.4,127,58.2,136,,,0.42433,5092,Jeff T,V High OF,-0.007468736
12-Oct-21,F065,652,1008844,5,10088445,41,41,,N,,246038,100,,83,84,,8.35,1715,59.7,163,58.8,159,,,0.36801,4660,Jeff T,V High OF,-0.003553652
12-Oct-21,F066,604,1008844,6,10088446,41,41,,N,,246039,100,,87,86,,8.65,1118.1,52.2,128,57.9,139,,,0.41236,2711,Jeff T,Low OF,-0.008734263
12-Oct-21,F067,694,1008844,7,10088447,41,41,,N,,246040,100,,91,89,,9,1642.5,63.8,136,59.1,129,,,0.46377,3542,Jeff T,V High OF,0.010978112
12-Oct-21,F068,684,1008844,8,10088448,41,41,,N,,246041,90,Some eggs left in skein.,90,86,90,8.867,1418.5,55.9,129,55.6,131,,,0.42885,3308,Jeff T,V High OF,0.008905852
12-Oct-21,F069,677,1008844,9,10088449,41,41,,N,,246042,100,,85,85,84,8.467,1827.1,57.6,145,57.4,145,,,0.39655,4607,Jeff T,High OF,0.00137931
12-Oct-21,F070,703,1008844,10,100884410,41,41,,N,,246043,100,,84,84,,8.4,2188.8,59.7,155,58.2,151,,,0.38529,5681,Jeff T,V High OF,-0.000269173
14-Oct-21,F071,511,1008845,1,10088451,31,31,,N,,264254,100,POH 524.   Note. Whatman numbers may be dislexic for these next 10.  64 is transposed from the 46 in the subsequent 20 specimens.,71,73,,7.2,608.2,60.2,248,55,227,,,0.24253,2508,Jeff T,Med OF,0.000451187
14-Oct-21,F072,547,1008845,2,10088452,31,31,,N,,264255,100,POH 542,72,73,,7.25,738.9,50.5,189,55,205,,,0.26777,2759,Jeff T,High OF,-0.001096916
14-Oct-21,F073,591,1008845,3,10088453,31,31,,N,,264256,100,601,78,78,,7.8,1173.8,51.9,157,52.8,158,,,0.33238,3531,Jeff T,V High OF,-0.003603967
14-Oct-21,F074,755,1008845,4,10088454,4M,51,,N,,264257,100,741,94,94,,9.4,2152.5,62.6,115,66.6,123,,,0.54286,3965,Jeff T,V High OF,0.002884411
14-Oct-21,F075,650,1008845,5,10088455,41,41,,N,,264258,100,659,83,83,,8.3,1392.6,54.1,157,57.2,166,,,0.34458,4041,Jeff T,V High OF,7.67E-06
14-Oct-21,F076,540,1008845,6,10088456,31,31,,N,,264259,100,545,77,73,74,7.467,786.5,56.3,210,51.6,189,,,0.27043,2908,Jeff T,V Low OF.  Some blood.,-0.004920635
14-Oct-21,F077,758,1008845,7,10088457,51,51,,N,,264260,100,760,91,89,,9,2317.5,55.1,118,60.1,128,,,0.46829,4949,Jeff T,V High OF,-0.002582097
14-Oct-21,F078,750,1008845,8,10088458,41,41,,N,,264261,100,735,84,85,,8.45,1440.8,52.3,131,59.8,152,,,0.39611,3637,Jeff T,High OF,0.005815589
14-Oct-21,F079,516,1008845,9,10088459,31,31,31,Y,1477243,264262,100,519,79,77,,7.8,614.4,50.4,177,53.7,186,,,0.28678,2142,Jeff T,Low OF,-0.003963915
14-Oct-21,F080,687,1008845,10,100884510,41,41,41,Y,1477244,264263,100,704,88,89,,8.85,1789.7,55.2,122,63.3,140,,,0.45229,3957,Jeff T,V High OF,0.000316159
14-Oct-21,F081,532,1008846,1,10088461,41,41,,Y,1477245,246301,100,541,85,87,,8.6,1046.4,58.2,135,58.5,135,,,0.43222,2421,Jeff T,High OF,-0.002222222
14-Oct-21,F082,607,1008846,2,10088462,41,41,,N,,246302,100,598,88,88,,8.8,1398.8,57.5,126,59.8,132,,,0.45465,3077,Jeff T,V High OF,0.003318903
14-Oct-21,F083,632,1008846,3,10088463,41,41,,N,,246303,100,630,85,87,,8.6,1370.6,50.9,136,54,140,,,0.38007,3606,Jeff T,High OF,-0.01144958
14-Oct-21,F084,634,1008846,4,10088464,41,41,,N,,246304,100,632,84,83,,8.35,1452.8,51.1,130,57.7,146,,,0.3942,3685,Jeff T,V High OF,-0.002128556
14-Oct-21,F085,617,1008846,5,10088465,41,41,,N,,246305,100,605,84,84,,8.4,1230.2,52.8,142,55.1,145,,,0.37596,3272,Jeff T,Med OF,-0.008169014
14-Oct-21,F086,637,1008846,6,10088466,31,31,,N,,246306,100,648,84,85,,8.45,1439.6,53.2,142,62.7,168,,,0.37387,3851,Jeff T,Med OF,0.001433602
14-Oct-21,F087,662,1008846,7,10088467,41,41,,N,,246307,100,657,89,89,,8.9,1693.3,54.3,109,62.6,127,,,0.49534,3418,Jeff T,V High OF,0.005251752
14-Oct-21,F088,624,1008846,8,10088468,41,41,,N,,246308,100,626,80,80,,8,1545.3,58.7,160,61.3,164,,,0.37037,4172,Jeff T,V High OF,-0.006905488
14-Oct-21,F089,603,1008846,9,10088469,31,31,,N,,246309,100,598,84,84,,8.4,1100,52.8,137,60.3,156,,,0.38601,2850,Jeff T,High OF,-0.001137002
14-Oct-21,F090,654,1008846,10,100884610,31,31,41,Y,1477246,246310,100,644,85,84,,8.45,1325.5,57.2,140,59.1,141,,,0.41388,3203,Jeff T,High OF,-0.010577508
14-Oct-21,F091,545,1008847,1,10088471,31,31,,N,,246456,100,540,73,72,,7.25,812.3,53.5,221,49.4,206,,,0.24098,3371,Chelsea L,Med OF,0.002275623
14-Oct-21,F092,761,1008847,2,10088472,41,41,,N,,246457,100,757,89,89,,8.9,2042.9,53.2,100,59.4,114,,,0.52617,3883,Chelsea L,V High OF,0.010947368
14-Oct-21,F093,659,1008847,3,10088473,41,41,,N,,246458,100,684 (confirmed),85,85,,8.5,1554.8,53.8,117,55.9,120,,,0.46287,3359,Chelsea L,V High OF,-0.006004274
14-Oct-21,F094,545,1008847,4,10088474,41,41,,N,,246459,100,555,81,80,,8.05,722.3,56.3,161,50.8,145,,,0.35,2064,Chelsea L,Med OF,-0.000655387
14-Oct-21,F095,661,1008847,5,10088475,41,41,,N,,246460,100,663,81,82,,8.15,1685.4,52.7,132,51.9,123,,,0.4102,4109,Chelsea L,V High OF,-0.022708795
14-Oct-21,F096,776,1008847,6,10088476,51,51,,N,,246461,100,786,90,90,,9,2746.2,53.4,104,54.1,106,,,0.5119,5365,Chelsea L,High OF,0.00308418
14-Oct-21,F097,625,1008847,7,10088477,41,41,,N,,246462,100,643,83,82,,8.25,1272.8,52.9,144,52,140,,,0.36937,3446,Chelsea L,High OF,-0.00406746
14-Oct-21,F098,680,1008847,8,10088478,51,51,,N,,246463,100,684,91,92,,9.15,1844.8,50.7,104,59.9,119,,,0.49596,3720,Chelsea L,High OF,-0.015861345
14-Oct-21,F099,534,1008847,9,10088479,31,31,,N,,246464,100,527,71,72,,7.15,618.3,50.7,229,53.5,236,,,0.22409,2759,Chelsea L,Med OF,-0.005297535
14-Oct-21,F100,524,1008847,10,100884710,31,31,,N,,246465,100,537,74,73,,7.35,711.6,55.5,206,53.7,197,,,0.27097,2626,Chelsea L,High OF,-0.003171357
15-Oct-21,F101,672,1008848,1,10088481,41,41,,Y,,246557,100,658,84,84,,8.4,1703.4,57.7,146,60.5,154,,,0.394,4323,Jeff T,High OF,0.002348337
15-Oct-21,F102,592,1008848,2,10088482,31,31,41,N,1477325,246558,100,600,82,80,83,8.167,1099.5,56.1,169,61.5,186,,,0.33127,3319,Jeff T,Med OF,0.001307501
15-Oct-21,F103,788,1008848,3,10088483,51,51,,N,,246559,100,792,92,90,,9.1,2325.3,60.8,122,68.5,139,,,0.4954,4694,Jeff T,V High OF,0.0055549
15-Oct-21,F104,546,1008848,4,10088484,31,31,,N,,246766,100,532,79,80,,7.95,816.8,51.8,174,60,198,,,0.30054,2718,Jeff T,Med OF,-0.005329154
15-Oct-21,F105,531,1008848,5,10088485,31,31,31,Y,1477360,246767,100,531,82,81,,8.15,858.9,54.8,161,63.2,185,,,0.34104,2518,Jeff T,High OF,-0.001248951
15-Oct-21,F106,758,1008848,6,10088486,41,41,,N,,246768,100,753,N/A,N/A,,,1991.6,52.4,106,67.8,136,58,116,0.49777,4001,Jeff T,V High OF.  Forgot the 10 egg length.  Estimate it to be 90+.  They were big.  Last fish on a Friday afternoon - lemon of a sample!,-0.004189789
18-Oct-21,F107,686,1008900,1,10089001,41,41,41,Y,1477393,246869,100?,693.  Possible partially spawned.,84,84,,8.4,1091.5,59.8,153,59.7,154,,,0.38925,2804,Jeff T,High OF,0.003187336
18-Oct-21,F108,656,1008900,2,10089002,3M,41,41,Y,1477394,246870,100,652,89,90,,8.95,1543,56.5,109,63.6,123,,,0.51767,2981,Jeff T,V High OF,0.001275453
18-Oct-21,F109,622,1008900,3,10089003,41,41,41,Y,1477395,246871,100,612,84,84,,8.4,939.1,55.3,122,55.2,125,,,0.44737,2099,Jeff T,V High OF,0.011678689
18-Oct-21,F110,681,1008900,4,10089004,41,41,,Y,1477396,246872,100,666,86,86,,8.6,1983.7,54.7,114,58.4,125,,,0.47322,4192,Jeff T,V High OF.  Swimming in it.,0.012624561
18-Oct-21,F111,764,1008848,7,10088487,41,41,,N,,246873,100,756,86,87,,8.65,2305.1,60.1,121,55.6,114,,,0.49234,4682,Jeff T,V High OF,0.008974917
18-Oct-21,F112,602,1008900,5,10089005,3M,41,42,Y,1477406,246914,100,581,80,79,,7.95,1036.5,60.1,186,61.4,189,,,0.324,3199,Jeff T,High OF,-0.001749445
18-Oct-21,F113,703,1008900,6,10089006,41,41,41,Y,1477407,246915,100,699,90,91,,9.05,2202.6,59.5,111,62.6,115,,,0.54027,4077,Jeff T,V High OF,-0.00831179
18-Oct-21,F114,630,1008900,7,10089007,41,41,41,Y,1477408,246916,100,630,83,81,,8.2,1428.3,58,155,60.5,162,,,0.37382,3821,Jeff T,V High OF,0.000736758
18-Oct-21,F115,652,1008900,8,10089008,41,41,,Y,1477409,246917,100,640,87,85,,8.6,1324.7,57,138,61.9,146,,,0.41866,3164,Jeff T,High OF,-0.010929124
18-Oct-21,F116,754,1008848,8,10088488,4M,51,,N,,246918,100,754 and 764,89,89,,8.9,2131.6,57.2,122,59.8,125,,,0.47368,4500,Jeff T,High OF,-0.009547541
18-Oct-21,F117,753,1008848,9,10088489,41,41,,N,,246919,100,740 and 751,86,85,,8.55,2486.5,57.3,126,62.4,133,,,0.46216,5380,Jeff T,V High OF,-0.014411028
18-Oct-21,F118,524,1008900,9,10089009,31,31,31,Y,1477427,247085,100,526,76,76,,7.6,895.4,56.1,186,52.3,173,,,0.30195,2965,Jeff T,High OF,-0.000699236
18-Oct-21,F119,686,1008900,10,100890010,41,41,41,Y,1477428,247086,100,690,93,93,,9.3,1891.8,60.1,104,59,102,,,0.57816,3272,Jeff T,V High OF,-0.000546757
18-Oct-21,F120,775,1008848,10,100884810,4M,51,51,Y,1477429,247087,100?,767.  Possible partially spawned.,92,92,,9.2,1362.2,58.7,109,55,102,,,0.53886,2528,Jeff T,V High OF,-0.000683576
